13.2	8.6	6.7	7.65	13.7	18.1	12.1	15.1
15.1	8.7	6	7.35	13.9	20.2	12.5	16.35
14.1	9.8	8.8	9.3	14.1	17.8	13.3	15.55
14.9	8.2	6.7	7.45	14.3	18.9	11.6	15.25
13.6	4.4	1.7	3.05	14.6	21.9	13.5	17.7
16.7	8.7	6	7.35	14.8	19.7	10.3	15
12.6	5.2	1.9	3.55	15	16.1	9.2	12.65
11.9	6.3	2.1	4.2	15.1	15.3	11.4	13.35
11.4	9.4	8.9	9.15	15	12.7	10.4	11.55
10.9	9.4	9.4	9.4	14.8	14.9	10.9	12.9
11.7	9.2	9.2	9.2	14.6	17.5	9.2	13.35
13.1	6.7	4.5	5.6	14.5	19.3	11.5	15.4
11.5	4.6	2.3	3.45	14.6	18.7	10	14.35
11.8	9.8	8.4	9.1	14.8	15.7	11	13.35
11	9.7	10	9.85	14.9	13.1	10.6	11.85
11.4	9.7	9.7	9.7	14.9	17	11.3	14.15
11.5	9.6	9.7	9.65	14.8	18.5	10.6	14.55
14	10.3	9.3	9.8	14.9	20.2	13.1	16.65
17.1	11	10.5	10.75	15.1	29.1	16.9	23
20	13	12.4	12.7	15.4	29.5	19.3	24.4
21.7	15.2	12.6	13.9	15.8	28.9	17	22.95
20.5	12	10.1	11.05	16.4	26.1	15.8	20.95
18.5	7.8	5.3	6.55	16.7	24.1	15.6	19.85
17.5	10.9	8.7	9.8	16.8	24.8	16.6	20.7
20.5	10.5	8.7	9.6	17	24.7	16.5	20.6
17.5	10	7.6	8.8	17.3	22.4	16.5	19.45
17.5	12.8	12.6	12.7	17.4	24.2	16.4	20.3
18.7	13.9	12.4	13.15	17.6	23.7	17.9	20.8
18.8	13	11.8	12.4	17.6	20.7	15.3	18
19.1	12.6	11.4	12	17.6	23.8	18.4	21.1
21.1	13.8	13.1	13.45	17.6	24.5	18.2	21.35
18.5	12.7	11.7	12.2	17.8	23	18.5	20.75
20.8	17	15.2	16.1	18	26.3	19.8	23.05
24	16.4	14.6	15.5	18.2	27.8	17.6	22.7
17.8	11.7	9.9	10.8	18.4	20.8	16.1	18.45
16.2	12.3	9.9	11.1	18.5	18.8	15.7	17.25
19.7	16.5	15.3	15.9	18.4	23.4	15.4	19.4
17.6	13	12.4	12.7	18.3	20	13.1	16.55
15.2	7.8	6.4	7.1	18.3	17.7	15.2	16.45
17.3	15.1	14.6	14.85	18.1	20	14.5	17.25
16.6	11.2	9.5	10.35	18	18.4	14.4	16.4
15.5	10.3	8.7	9.5	17.9	18	12.1	15.05
15.8	9.8	7.6	8.7	17.7	17.5	12.9	15.2
15.2	9.7	7.9	8.8	17.5	18.4	14.9	16.65
16.9	10.5	8.5	9.5	17.4	21.3	16.7	19
20.3	13	10.9	11.95	17.3	27	20.2	23.6
23.1	15.1	13.4	14.25	17.5	25.4	17.6	21.5
17.9	14.8	13.7	14.25	17.8	23.3	15.1	19.2
19	11.1	9.6	10.35	17.9	21.4	16.5	18.95
17.4	14.5	14.5	14.5	17.9	20.7	14.4	17.55
17.3	12	10.1	11.05	17.8	21.5	15.7	18.6
17.7	12.3	10.6	11.45	17.7	21.5	15.3	18.4
15.5	10.7	9.3	10	17.7	17.5	14.7	16.1
18	14.4	13.1	13.75	17.5	20.1	15.9	18
17.5	14	13.7	13.85	17.4	19.5	13.4	16.45
17.9	11.7	10.5	11.1	17.4	21	14.6	17.8
16.3	10.1	8.5	9.3	17.3	17.8	14.1	15.95
16.3	13.9	13.7	13.8	17.3	21.9	14.6	18.25
15.2	7.3	6.2	6.75	17.3	20	13.9	16.95
15.7	9	6.5	7.75	17.3	18.8	13.3	16.05
15.6	13	12.4	12.7	17.2	17.2	14.4	15.8
18.9	15.7	15	15.35	17.1	22.5	14.6	18.55
14.6	11.9	11.8	11.85	17.1	19.6	12.4	16
15.6	9.4	6.9	8.15	17.1	19.2	13.4	16.3
17.4	9	7.4	8.2	17.1	21.4	14.1	17.75
20	14.7	14.1	14.4	17	23.6	17.6	20.6
17.9	14.6	12.3	13.45	17	22.9	17.5	20.2
19.1	14.9	13.9	14.4	17.2	22.2	16.6	19.4
17.8	13.2	11.4	12.3	17.3	19.7	15.4	17.55
17.4	15.9	15.4	15.65	17.3	18.6	15.8	17.2
16.4	13.6	12.7	13.15	17.3	18.9	15.2	17.05
17.3	13.6	13.3	13.45	17.2	21.2	15	18.1
17.6	12.2	10.6	11.4	17.1	21.2	15.5	18.35
16.4	14.1	12.5	13.3	17.2	19.1	14.5	16.8
